,Month,ID,Acousticness,Danceability,Duration Ms,Energy,Instrumentalness,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
174,1,14X1WxiHXdVRJ99cMCBzOE,0.102,0.826,224916,0.635,0,0.245,-5.181,0,0.212,119.954,4,0.808
175,1,6vN77lE9LK6HP2DewaN6HZ,0.0355,0.963,142273,0.346,0,0.108,-9.309,0,0.53,119.957,4,0.562
176,1,6piAUJJQFD8oHDUr0b7l7q,0.199,0.746,179133,0.717,0,0.132,-4.841,0,0.179,150.964,4,0.523
177,1,7FGq80cy8juXBCD2nrqdWU,0.549,0.632,170770,0.686,0,0.2,-7.665,0,0.243,89.949,4,0.329
178,1,0Xek5rqai2jcOWCYWJfVCF,0.0588,0.542,196760,0.674,0,0.0955,-4.169,1,0.21,76.388,4,0.667
179,1,7AQim7LbvFVZJE3O8TYgf2,0.0172,0.797,146520,0.533,0.000152,0.103,-9.74,0,0.0412,131.036,4,0.329
180,1,5MwynWK9s4hlyKHqhkNn4A,0.657,0.631,205453,0.591,0,0.11,-5.785,1,0.0277,97.074,4,0.489
181,1,22vgEDb5hykfaTwLuskFGD,0.0427,0.842,181027,0.734,0,0.106,-5.065,0,0.0588,137.958,4,0.952
182,1,6K4t31amVTZDgR3sKmwUJJ,0.0115,0.64,216320,0.74,0.00678,0.167,-4.083,1,0.0284,116.879,4,0.785
183,1,7CHi4DtfK4heMlQaudCuHK,0.129,0.598,168387,0.526,0,0.14,-8.659,0,0.0415,123.935,4,0.529
184,1,0uxSUdBrJy9Un0EYoBowng,0.109,0.773,220587,0.75,0,0.174,-4.009,0,0.117,123.426,4,0.783
185,1,1eto1iY3lVWyJhejV6Mi6J,0.154,0.832,157929,0.591,2.75E-05,0.124,-7.665,1,0.408,140.081,4,0.297
186,1,4uziEsK1yiqdauKVDPsmVG,0.15,0.652,150853,0.595,0.000115,0.0842,-4.04,1,0.113,172.27,4,0.444
187,1,6lruHh1jF7ezgbLv72xYmf,0.113,0.822,223000,0.575,0,0.106,-5.95,1,0.0934,100.087,4,0.616
188,1,5T9S5x5hEOvgGKWysm683a,0.309,0.802,174520,0.272,0,0.403,-10.563,1,0.412,68.969,4,0.669
189,1,2ZrAjMSmlbDIil0JaVgTHh,0.144,0.929,132024,0.7,0,0.349,-5.595,0,0.0906,120.009,4,0.802
190,1,4R8BJggjosTswLxtkw8V7P,0.145,0.806,309120,0.786,0,0.0935,-3.831,0,0.0741,91.973,4,0.58
191,1,6TqXcAFInzjp0bODyvrWEq,0.051,0.901,197573,0.4,0,0.0599,-8.575,1,0.126,135.984,4,0.346
192,1,51Fjme0JiitpyXKuyQiCDo,0.181,0.843,160627,0.391,0,0.137,-7.899,1,0.0845,129.972,4,0.496
